Tiempo (sg),VolJet,CurrentJet (A),CapJet (Ah),VolMas,CurrentMas (A),CapMas (Ah),VolNav,CurrentNav (A),CapNav (Ah),VolGeo,CurrentGeo (A),CapGeo (Ah),VolSig,CurrentSig (A),CapSig (Ah)
866,7.78,0.898,0.2197,7.38,1.697,0.4137,7.68,1.098,0.2682,7.06,3.319,0.8087,7.36,2498.0,0.6093
867,7.78,0.898,0.2199,7.38,1.697,0.4142,7.68,1.098,0.2684,7.06,3.319,0.8099,7.36,2498.0,0.61
868,7.77,0.898,0.2201,7.38,1.697,0.4148,7.68,1.098,0.2687,7.06,3.319,0.8108,7.36,2498.0,0.6106
869,7.77,0.898,0.2205,7.38,1.697,0.4152,7.68,1.098,0.2691,7.06,3.319,0.8116,7.36,2498.0,0.6113
870,7.77,0.898,0.2207,7.38,1.697,0.4157,7.68,1.098,0.2694,7.06,3.319,0.8125,7.36,2498.0,0.6121
871,7.77,0.898,0.2209,7.38,1.697,0.4161,7.68,1.098,0.2697,7.06,3.319,0.8136,7.36,2498.0,0.6128
872,7.77,0.898,0.2212,7.38,1.697,0.4167,7.67,1.098,0.27,7.06,3.319,0.8145,7.36,2498.0,0.6134
873,7.77,0.898,0.2215,7.38,1.697,0.4171,7.67,1.098,0.2703,7.06,3.319,0.8154,7.36,2498.0,0.6141
874,7.77,0.898,0.2217,7.38,1.697,0.4176,7.67,1.098,0.2706,7.06,3.319,0.8162,7.36,2498.0,0.6149
875,7.77,0.898,0.2219,7.38,1.697,0.418,7.67,1.098,0.2709,7.06,3.319,0.8174,7.36,2498.0,0.6156
876,7.77,0.898,0.2222,7.38,1.697,0.4186,7.67,1.098,0.2712,7.06,3.319,0.8182,7.36,2498.0,0.6162
877,7.77,0.898,0.2225,7.38,1.697,0.419,7.67,1.098,0.2716,7.06,3.319,0.8191,7.36,2498.0,0.6169
878,7.77,0.898,0.2227,7.38,1.697,0.4195,7.67,1.098,0.2719,7.06,3.319,0.82,7.36,2498.0,0.6178
879,7.77,0.898,0.2229,7.38,1.697,0.4199,7.67,1.098,0.2722,7.06,3.319,0.8211,7.36,2498.0,0.6184
880,7.77,0.898,0.2232,7.38,1.697,0.4205,7.67,1.098,0.2724,7.06,3.319,0.822,7.36,2498.0,0.6191
881,7.77,0.898,0.2235,7.38,1.697,0.421,7.67,1.098,0.2727,7.06,3.319,0.8228,7.36,2498.0,0.6197
882,7.77,0.898,0.2237,7.38,1.697,0.4214,7.67,1.098,0.2731,7.06,3.319,0.8237,7.36,2498.0,0.6206
883,7.77,0.898,0.224,7.38,1.697,0.4218,7.67,1.098,0.2734,7.06,3.319,0.8248,7.36,2498.0,0.6212
884,7.77,0.898,0.2242,7.38,1.697,0.4224,7.67,1.098,0.2737,7.06,3.319,0.8257,7.36,2498.0,0.6219
885,7.77,0.898,0.2245,7.38,1.697,0.4229,7.67,1.098,0.274,7.06,3.319,0.8266,7.36,2498.0,0.6225
886,7.77,0.898,0.2247,7.38,1.697,0.4233,7.67,1.098,0.2743,7.06,3.319,0.8274,7.35,2498.0,0.6234
887,7.77,0.898,0.225,7.38,1.697,0.4237,7.67,1.098,0.2746,7.06,3.319,0.8286,7.36,2498.0,0.624
888,7.77,0.898,0.2252,7.38,1.697,0.4243,7.67,1.098,0.2749,7.06,3.319,0.8294,7.35,2498.0,0.6247
889,7.77,0.898,0.2255,7.38,1.697,0.4248,7.67,1.098,0.2753,7.06,3.319,0.8303,7.35,2498.0,0.6253
890,7.77,0.898,0.2257,7.38,1.697,0.4252,7.67,1.098,0.2756,7.06,3.319,0.8312,7.35,2498.0,0.6262
891,7.77,0.898,0.226,7.38,1.697,0.4257,7.67,1.098,0.2759,7.06,3.319,0.8323,7.35,2498.0,0.6268
892,7.77,0.898,0.2262,7.38,1.697,0.4262,7.67,1.098,0.2761,7.05,3.319,0.8332,7.35,2498.0,0.6275
893,7.78,0.898,0.2265,7.37,1.697,0.4267,7.67,1.098,0.2765,7.05,3.319,0.834,7.35,2498.0,0.6283
894,7.78,0.898,0.2268,7.37,1.697,0.4271,7.67,1.098,0.2768,7.05,3.319,0.8349,7.35,2498.0,0.6289
895,7.78,0.898,0.227,7.37,1.697,0.4276,7.67,1.098,0.2771,7.05,3.319,0.8361,7.35,2498.0,0.6296
896,7.78,0.898,0.2272,7.37,1.697,0.4282,7.67,1.098,0.2774,7.05,3.319,0.8369,7.35,2498.0,0.6305
897,7.78,0.898,0.2275,7.37,1.697,0.4286,7.67,1.098,0.2777,7.05,3.319,0.8378,7.35,2498.0,
898,7.78,0.898,0.2278,7.37,1.697,0.429,7.67,1.098,0.278,7.05,3.319,0.8386,7.35,2498.0,
899,7.78,0.898,0.228,7.37,1.697,0.4295,7.67,1.098,0.2783,7.05,3.319,0.8398,7.35,2498.0,
900,7.78,0.898,0.2282,7.37,1.697,0.4301,7.67,1.098,0.2786,7.05,3.319,0.8406,7.35,2498.0,
901,7.77,0.898,0.2285,7.37,1.697,0.4304,7.67,1.098,0.279,7.05,3.319,0.8412,,,
902,7.78,0.898,0.2288,,,,,,,,,,,,
903,7.78,0.898,0.229,,,,,,,,,,,,
904,7.78,0.898,0.2292,,,,,,,,,,,,
